rowid,pl_letter,pl_pnum,pl_orbper,pl_bmassj,pl_radj,pl_ttvflag,ra,dec,st_optmag,st_teff,st_mass,st_rad
2896,b,1,8.57503552,,0.367,FALSE,285.22111,47.881382,13.242,5028,1.25,3.42
2897,b,1,10.50682565,,0.914,FALSE,293.362842,39.212452,15.95,5286,0.9,0.85
2898,b,1,3.99010623,,0.806,FALSE,296.081856,39.161617,15.572,5861,1.03,1.03
2899,b,1,10.03538581,,0.456,FALSE,296.235105,39.370343,15.062,5638,0.94,0.92
2900,b,1,33.1995648,,0.246,FALSE,295.370797,39.177218,15.03,5279,0.86,0.81
2901,b,4,26.444,,0.357,TRUE,292.87339,42.966137,15.158,5428,0.85,0.94
2902,c,4,51.538,,0.477,TRUE,292.87339,42.966137,15.158,5428,0.85,0.94
2903,d,4,2.382961,,0.158,TRUE,292.87339,42.966137,15.158,5428,0.85,0.94
2904,e,4,5.902206,,0.22,TRUE,292.87339,42.966137,15.158,5428,0.85,0.94
2905,b,1,127.8338098,,0.543,FALSE,291.020145,39.220678,13.968,6260,1.23,1.36
2906,b,1,1.92279873,,0.117,FALSE,285.617437,39.37953,14.829,5191,0.84,0.8
2907,b,1,3.22296927,,0.158,FALSE,292.276118,39.550179,14.609,5928,1.06,1.08
2908,b,1,4.16809082,,0.14,FALSE,284.582577,39.220204,14.801,5643,0.98,0.96
2909,b,1,4.51436633,,0.167,FALSE,290.477412,39.732009,14.946,6035,1.15,1.22
2910,b,2,3.77360059,,0.136,FALSE,294.769908,39.398514,14.207,5976,1.03,1.08
2911,c,2,8.1818246,,0.164,FALSE,294.769908,39.398514,14.207,5976,1.03,1.08
2912,b,1,4.48758907,,0.112,FALSE,284.860139,39.240548,13.446,6079,1.05,1.15
2913,b,1,51.92927591,,0.502,FALSE,294.966046,42.708569,15.897,5602,0.93,0.91
2914,b,1,0.56785714,,0.135,FALSE,286.887275,42.471256,15.055,5039,0.81,0.77
2915,b,1,6.88337562,,0.188,FALSE,282.332793,42.463825,14.931,5698,0.98,0.97
2916,b,3,9.77,,0.252,TRUE,282.232525,43.665627,15.777,4648,0.66,0.59
2917,c,3,20.09,,0.211,TRUE,282.232525,43.665627,15.777,4648,0.66,0.59
2918,d,3,5.169796,,0.173,FALSE,282.232525,43.665627,15.777,4648,0.66,0.59
2919,b,1,11.29695137,,0.152,FALSE,295.054286,42.756847,14.788,6037,1.07,1.11
2920,b,1,5.62153941,,0.113,FALSE,294.985491,42.727669,13.687,5732,0.99,0.97
2921,b,1,7.1396941,,0.184,FALSE,295.926094,45.383862,15.906,5596,0.92,0.9
2922,b,1,18.7546998,,0.18,FALSE,290.479954,45.6007,15.473,4339,0.64,0.62
2923,b,1,13.32388301,,0.18,FALSE,287.054516,45.180374,15.931,4554,0.7,0.66
2924,b,1,11.41909375,,0.249,FALSE,283.574233,45.734802,15.965,5954,1.08,1.11
2925,b,1,11.36112327,,0.244,FALSE,287.452778,45.704399,14.63,5895,1.03,1.04
2926,b,1,16.56059504,,0.228,FALSE,285.24667,45.950195,15.198,5403,0.85,0.81
2927,b,1,15.74957994,,0.244,FALSE,285.435512,45.976021,15.3,5770,0.98,0.96
2928,b,1,37.8144514,,0.229,FALSE,291.074676,45.242584,13.601,6058,1.22,1.31
